query-id	corpus-id	score
2021-03-23__苏州科达科技股份有限公司__603660__苏州科达__2020年__年度报告_116.png-2	2021-03-23__苏州科达科技股份有限公司__603660__苏州科达__2020年__年度报告_116.png	1
52fd4a323d97356a463959671794e900699baae5_57.png-1	52fd4a323d97356a463959671794e900699baae5_57.png	1
财经2023第04期_87.png-2	财经2023第04期_87.png	1
810d8681429537dbf20a437a6dbf08e34c1ece27_155.png-1	810d8681429537dbf20a437a6dbf08e34c1ece27_155.png	1
中国银行股份有限公司2024年半年度报告_133.png-1	中国银行股份有限公司2024年半年度报告_133.png	1
2022金融行业薪酬趋势报告（上半年）_25.png-3	2022金融行业薪酬趋势报告（上半年）_25.png	1
中国工商银行股份有限公司2023年度报告_351.png-1	中国工商银行股份有限公司2023年度报告_351.png	1
中国工商银行股份有限公司2023年度报告_258.png-1	中国工商银行股份有限公司2023年度报告_258.png	1
2021-03-23__苏州科达科技股份有限公司__603660__苏州科达__2020年__年度报告_177.png-2	2021-03-23__苏州科达科技股份有限公司__603660__苏州科达__2020年__年度报告_177.png	1
思看科技(杭州)股份有限公司科创板IPO上市招股说明书_50.png-2	思看科技(杭州)股份有限公司科创板IPO上市招股说明书_50.png	1
中国金融稳定报告2016_185.png-1	中国金融稳定报告2016_185.png	1
思看科技(杭州)股份有限公司科创板IPO上市招股说明书_292.png-3	思看科技(杭州)股份有限公司科创板IPO上市招股说明书_292.png	1
52fd4a323d97356a463959671794e900699baae5_271.png-2	52fd4a323d97356a463959671794e900699baae5_271.png	1
思看科技(杭州)股份有限公司科创板IPO上市招股说明书_32.png-2	思看科技(杭州)股份有限公司科创板IPO上市招股说明书_32.png	1
11463b6562c6ba2afde67a29bca314452ea9a2e0_125.png-3	11463b6562c6ba2afde67a29bca314452ea9a2e0_125.png	1
思看科技(杭州)股份有限公司科创板IPO上市招股说明书_57.png-2	思看科技(杭州)股份有限公司科创板IPO上市招股说明书_57.png	1
11463b6562c6ba2afde67a29bca314452ea9a2e0_189.png-2	11463b6562c6ba2afde67a29bca314452ea9a2e0_189.png	1
皖能电力年报点评：电价高位维持、煤价趋稳，新疆机组投产，归母净利润大幅增长；分红比例提高_1.png-3	皖能电力年报点评：电价高位维持、煤价趋稳，新疆机组投产，归母净利润大幅增长；分红比例提高_1.png	1
2022金融行业薪酬趋势报告（上半年）_14.png-3	2022金融行业薪酬趋势报告（上半年）_14.png	1
2021-04-16__四川明星电力股份有限公司__600101__明星电力__2020年__年度报告_121.png-3	2021-04-16__四川明星电力股份有限公司__600101__明星电力__2020年__年度报告_121.png	1
国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_39.png-3	国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_39.png	1
周期、重构、起航-2018年中国新经济创投白皮书_186.png-2	周期、重构、起航-2018年中国新经济创投白皮书_186.png	1
德勤：中国银行业2024年上半年发展回顾与展望报告_80.png-2	德勤：中国银行业2024年上半年发展回顾与展望报告_80.png	1
中国工商银行股份有限公司2023年度报告_328.png-2	中国工商银行股份有限公司2023年度报告_328.png	1
思看科技(杭州)股份有限公司科创板IPO上市招股说明书_347.png-2	思看科技(杭州)股份有限公司科创板IPO上市招股说明书_347.png	1
2021-04-16__德尔未来科技控股集团股份有限公司__002631__德尔未来__2020年__年度报告_213.png-2	2021-04-16__德尔未来科技控股集团股份有限公司__002631__德尔未来__2020年__年度报告_213.png	1
国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_multipage_66-70.png-3	国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_66.png	1
国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_multipage_66-70.png-3	国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_67.png	1
国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_multipage_66-70.png-3	国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_68.png	1
国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_multipage_66-70.png-3	国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_69.png	1
国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_multipage_66-70.png-3	国家低空经济融创中心：中国上市及新三板挂牌公司低空经济发展报告（2024）_70.png	1
810d8681429537dbf20a437a6dbf08e34c1ece27_273.png-2	810d8681429537dbf20a437a6dbf08e34c1ece27_273.png	1
东吴证券：保险行业2025年投资策略：资负共振，长期可期_39.png-2	东吴证券：保险行业2025年投资策略：资负共振，长期可期_39.png	1
52fd4a323d97356a463959671794e900699baae5_36.png-2	52fd4a323d97356a463959671794e900699baae5_36.png	1
中国工商银行股份有限公司2023年度报告_359.png-1	中国工商银行股份有限公司2023年度报告_359.png	1
【看新股】A股IPO排队透视：待上市企业110家 华电新能、南航物流拟募资规模居前 - 中国金融信息网_4.png-2	【看新股】A股IPO排队透视：待上市企业110家 华电新能、南航物流拟募资规模居前 - 中国金融信息网_4.png	1
中国金融稳定报告2017_160.png-3	中国金融稳定报告2017_160.png	1
股票违约风险波及效应_机构部门资金流量视角_1_7.png-2	股票违约风险波及效应_机构部门资金流量视角_1_7.png	1
中国人民大学国际货币研究所：中国财富管理行业趋势报告（2024上）_12.png-3	中国人民大学国际货币研究所：中国财富管理行业趋势报告（2024上）_12.png	1
金杜律师事务所：2024年私募与基金热点问题解读及实务分析报告II_134.png-1	金杜律师事务所：2024年私募与基金热点问题解读及实务分析报告II_134.png	1
【研报推荐】艾德生物：逆势增长，业绩超预期_1.png-3	【研报推荐】艾德生物：逆势增长，业绩超预期_1.png	1
中国银行全球经济金融展望报告（2025年）：经济增长不确定性加大，货币政策进入降息周期_12.png-2	中国银行全球经济金融展望报告（2025年）：经济增长不确定性加大，货币政策进入降息周期_12.png	1
《中国经济观察》_65.png-3	《中国经济观察》_65.png	1
周期、重构、起航-2018年中国新经济创投白皮书_100.png-3	周期、重构、起航-2018年中国新经济创投白皮书_100.png	1
金地集团年报点评：业绩承压，尽力应对标债压力_2.png-2	金地集团年报点评：业绩承压，尽力应对标债压力_2.png	1
海利尔：行业景气基本触底，期待新项目放量_3.png-3	海利尔：行业景气基本触底，期待新项目放量_3.png	1
【研报推荐】国能日新年报点评：核心业务持续巩固，创新业务不断突破_2.png-2	【研报推荐】国能日新年报点评：核心业务持续巩固，创新业务不断突破_2.png	1
【研报推荐】均胜电子年报点评：汽车安全业务盈利改善，汽车电子业务稳定增长_3.png-3	【研报推荐】均胜电子年报点评：汽车安全业务盈利改善，汽车电子业务稳定增长_3.png	1
中国银行股份有限公司2024年半年度报告_139.png-3	中国银行股份有限公司2024年半年度报告_139.png	1
第一财经2024年5期_27.png-3	第一财经2024年5期_27.png	1
中国金融稳定报告2016_188.png-3	中国金融稳定报告2016_188.png	1
财经2024年9期_109.png-1	财经2024年9期_109.png	1
财经2024年9期_109.png-2	财经2024年9期_109.png	1
中国银行全球经济金融展望报告（2025年）：经济增长不确定性加大，货币政策进入降息周期_8.png-3	中国银行全球经济金融展望报告（2025年）：经济增长不确定性加大，货币政策进入降息周期_8.png	1
中国人民银行：人民币国际化报告（2024）_10.png-3	中国人民银行：人民币国际化报告（2024）_10.png	1
《财富》世界+500+强企业经营新动态、影响及建议_11.png-1	《财富》世界+500+强企业经营新动态、影响及建议_11.png	1
中国银行股份有限公司2024年半年度报告_146.png-3	中国银行股份有限公司2024年半年度报告_146.png	1
中国金融稳定报告2016_180.png-1	中国金融稳定报告2016_180.png	1
810d8681429537dbf20a437a6dbf08e34c1ece27_35.png-1	810d8681429537dbf20a437a6dbf08e34c1ece27_35.png	1
中国银行股份有限公司2024年半年度报告_155.png-3	中国银行股份有限公司2024年半年度报告_155.png	1
中国银行股份有限公司2024年半年度报告_77.png-1	中国银行股份有限公司2024年半年度报告_77.png	1
2022金融行业薪酬趋势报告（上半年）_17.png-2	2022金融行业薪酬趋势报告（上半年）_17.png	1
【研报推荐】远光软件年报点评：合同资产大幅增长，公司增长动力稳健_3.png-1	【研报推荐】远光软件年报点评：合同资产大幅增长，公司增长动力稳健_3.png	1
中国银行全球经济金融展望报告（2025年）：经济增长不确定性加大，货币政策进入降息周期_36.png-2	中国银行全球经济金融展望报告（2025年）：经济增长不确定性加大，货币政策进入降息周期_36.png	1
2021-04-16__四川明星电力股份有限公司__600101__明星电力__2020年__年度报告_194.png-2	2021-04-16__四川明星电力股份有限公司__600101__明星电力__2020年__年度报告_194.png	1
